>>> %Run -c $EDITOR_CONTENT

MPY: soft reboot
Boot OK
WiFi connecting...
✅ WiFi IP: 192.168.1.153
connectat cu succes 192.168.1.153
💾 LOADED config.json: R | offset=-26.5°C
🔥 MAX31856 PRO - R | Offset -26.5°C
✅ READY | config.json OK pentru WebUI
✅ Sensor R-type: {'offset': -26.5, 'raw': 405.5, 'temp': 379.0, 'config': {'offset': -26.5, 'type_name': 'R', 'status': 'saved', 'type_code': 5}, 'cj': 27.8, 'delta': 351.2, 'type': 'R', 'type_code': 5}
🔗 Accesează WebUI la: http://192.168.1.153
✅ v12: FIX1+2+3+4+5 - HOLD LOOP FIXED + USER SELECT!
══════════════════════════════════════════════════════════════════════════════════════════
🔍 Tcurentă=379.1°C

📋 ALEGE SEGMENTUL DE START (1-13):
ENTER S# (ex: 3, 4, 5): 6

✅ START S6: 328→750°C
   Ramp: 2.5°C/min | Hold: 0min


MIN | S# | Tcur  | Ttgt | ERR  | RATE | ON(s)| DUTY%| SSR | MODE  | BOOST | SEG_TIME
17m | S 6 | 404.5 | 414.8 | +10.3 |  3.00 |  3.3 |  32.9% |  ON | ramp  | +4.4% |  14.3m
17m | S 6 | 404.9 | 415.2 | +10.3 |  2.70 |  3.3 |  33.5% |  ON | ramp  | +4.4% |  14.4m
17m | S 6 | 405.4 | 415.7 | +10.3 |  2.63 |  3.4 |  33.6% |  ON | ramp  | +4.4% |  14.6m
18m | S 6 | 405.9 | 416.1 | +10.2 |  2.78 |  3.3 |  33.3% |  ON | ramp  | +4.4% |  14.8m
18m | S 6 | 406.4 | 416.5 | +10.1 |  2.78 |  3.3 |  33.3% |  ON | ramp  | +4.4% |  15.0m
18m | S 6 | 406.8 | 416.9 | +10.1 |  2.78 |  3.3 |  33.3% |  ON | ramp  | +4.4% |  15.1m
18m | S 6 | 407.2 | 417.4 | +10.1 |  2.70 |  3.3 |  33.5% |  ON | ramp  | +4.4% |  15.3m
18m | S 6 | 407.7 | 417.8 | +10.1 |  2.70 |  3.3 |  33.5% |  ON | ramp  | +4.4% |  15.5m
18m | S 6 | 408.2 | 418.2 | +10.0 |  2.70 |  3.3 |  33.5% |  ON | ramp  | +4.4% |  15.6m
19m | S 6 | 408.6 | 418.6 | +10.0 |  2.70 |  3.3 |  33.5% |  ON | ramp  | +4.4% |  15.8m
19m | S 6 | 409.1 | 419.0 | +9.9 |  2.85 |  3.3 |  33.2% |  ON | ramp  | +4.4% |  16.0m
19m | S 6 | 409.5 | 419.4 | +9.9 |  2.70 |  3.3 |  33.5% |  ON | ramp  | +4.4% |  16.1m
19m | S 6 | 410.0 | 419.8 | +9.9 |  2.70 |  3.3 |  33.5% |  ON | ramp  | +4.4% |  16.3m
19m | S 6 | 410.4 | 420.3 | +9.9 |  2.70 |  3.3 |  33.5% |  ON | ramp  | +4.4% |  16.5m
19m | S 6 | 410.9 | 420.7 | +9.8 |  2.70 |  3.3 |  33.5% |  ON | ramp  | +4.4% |  16.6m
20m | S 6 | 411.4 | 421.1 | +9.7 |  2.85 |  3.3 |  33.2% |  ON | ramp  | +4.4% |  16.8m
20m | S 6 | 411.8 | 421.5 | +9.7 |  2.70 |  3.3 |  33.5% |  ON | ramp  | +4.4% |  17.0m
20m | S 6 | 412.3 | 421.9 | +9.6 |  2.85 |  3.3 |  33.2% |  ON | ramp  | +4.4% |  17.1m
20m | S 6 | 412.7 | 422.4 | +9.6 |  2.70 |  3.3 |  33.5% |  ON | ramp  | +4.4% |  17.3m
20m | S 6 | 413.2 | 422.8 | +9.6 |  2.70 |  3.3 |  33.5% |  ON | ramp  | +4.4% |  17.5m
20m | S 6 | 413.6 | 423.2 | +9.6 |  2.70 |  3.3 |  33.5% |  ON | ramp  | +4.4% |  17.6m
21m | S 6 | 414.0 | 423.6 | +9.6 |  2.55 |  3.4 |  33.8% |  ON | ramp  | +4.4% |  17.8m
21m | S 6 | 414.5 | 424.0 | +9.5 |  2.70 |  3.3 |  33.5% |  ON | ramp  | +4.4% |  18.0m
21m | S 6 | 414.9 | 424.4 | +9.5 |  2.55 |  3.4 |  33.8% |  ON | ramp  | +4.4% |  18.1m
21m | S 6 | 415.4 | 424.8 | +9.5 |  2.70 |  3.3 |  33.5% |  ON | ramp  | +4.4% |  18.3m
21m | S 6 | 415.9 | 425.3 | +9.4 |  2.85 |  3.3 |  33.2% |  ON | ramp  | +4.4% |  18.5m
21m | S 6 | 416.2 | 425.7 | +9.5 |  2.55 |  3.4 |  33.8% |  ON | ramp  | +4.4% |  18.6m
22m | S 6 | 416.7 | 426.1 | +9.4 |  2.70 |  3.3 |  33.5% |  ON | ramp  | +4.4% |  18.8m
22m | S 6 | 417.1 | 426.5 | +9.4 |  2.55 |  3.4 |  33.8% |  ON | ramp  | +4.4% |  19.0m
