>>> %Run -c $EDITOR_CONTENT

MPY: soft reboot
Boot OK
WiFi connecting...
✅ WiFi IP: 192.168.1.153
connectat cu succes 192.168.1.153
💾 LOADED config.json: R | offset=-26.5°C
🔥 MAX31856 PRO - R | Offset -26.5°C
✅ READY | config.json OK pentru WebUI
✅ Sensor R-type: {'offset': -26.5, 'raw': 405.5, 'temp': 379.0, 'config': {'offset': -26.5, 'type_name': 'R', 'status': 'saved', 'type_code': 5}, 'cj': 27.8, 'delta': 351.2, 'type': 'R', 'type_code': 5}
🔗 Accesează WebUI la: http://192.168.1.153
✅ v12: FIX1+2+3+4+5 - HOLD LOOP FIXED + USER SELECT!
══════════════════════════════════════════════════════════════════════════════════════════
🔍 Tcurentă=379.1°C

📋 ALEGE SEGMENTUL DE START (1-13):
ENTER S# (ex: 3, 4, 5): 6

✅ START S6: 328→750°C
   Ramp: 2.5°C/min | Hold: 0min


MIN | S# | Tcur  | Ttgt | ERR  | RATE | ON(s)| DUTY%| SSR | MODE  | BOOST | SEG_TIME
56m | S 7 | 615.7 | 614.1 | -1.6 |  2.55 |  4.6 |  45.8% |  ON | ramp  | +6.4% |  37.5m
56m | S 7 | 616.1 | 614.5 | -1.6 |  2.55 |  4.6 |  45.8% |  ON | ramp  | +6.4% |  37.6m
56m | S 7 | 616.5 | 614.9 | -1.6 |  2.40 |  4.6 |  46.1% |  ON | ramp  | +6.4% |  37.8m
57m | S 7 | 617.0 | 615.3 | -1.7 |  2.55 |  4.6 |  45.8% |  ON | ramp  | +6.4% |  38.0m
57m | S 7 | 617.3 | 615.7 | -1.6 |  2.40 |  4.6 |  46.1% |  ON | ramp  | +6.4% |  38.1m
57m | S 7 | 617.7 | 616.2 | -1.5 |  2.40 |  4.6 |  46.1% |  ON | ramp  | +6.4% |  38.3m
57m | S 7 | 618.1 | 616.6 | -1.5 |  2.40 |  4.6 |  46.1% |  ON | ramp  | +6.4% |  38.5m
57m | S 7 | 618.5 | 617.0 | -1.5 |  2.25 |  4.6 |  46.4% |  ON | ramp  | +6.4% |  38.6m
57m | S 7 | 618.8 | 617.4 | -1.4 |  2.25 |  4.6 |  46.4% |  ON | ramp  | +6.4% |  38.8m
58m | S 7 | 619.3 | 617.8 | -1.5 |  2.40 |  4.6 |  46.1% |  ON | ramp  | +6.4% |  39.0m
58m | S 7 | 619.7 | 618.2 | -1.5 |  2.40 |  4.6 |  46.1% |  ON | ramp  | +6.4% |  39.1m
58m | S 7 | 620.1 | 618.6 | -1.4 |  2.40 |  4.6 |  46.1% |  ON | ramp  | +6.4% |  39.3m
58m | S 7 | 620.5 | 619.1 | -1.4 |  2.55 |  4.6 |  45.8% |  ON | ramp  | +6.4% |  39.5m
58m | S 7 | 620.9 | 619.6 | -1.3 |  2.29 |  4.6 |  46.3% |  ON | ramp  | +6.4% |  39.7m
58m | S 7 | 621.3 | 620.0 | -1.3 |  2.29 |  4.6 |  46.3% |  ON | ramp  | +6.4% |  39.8m
59m | S 7 | 621.7 | 620.4 | -1.3 |  2.29 |  4.6 |  46.3% |  ON | ramp  | +6.4% |  40.0m
59m | S 7 | 622.1 | 620.8 | -1.3 |  2.29 |  4.6 |  46.3% |  ON | ramp  | +6.4% |  40.2m
59m | S 7 | 622.5 | 621.2 | -1.3 |  2.40 |  4.6 |  46.1% |  ON | ramp  | +6.4% |  40.3m
59m | S 7 | 622.9 | 621.6 | -1.2 |  2.40 |  4.6 |  46.1% |  ON | ramp  | +6.4% |  40.5m
59m | S 7 | 623.3 | 622.1 | -1.2 |  2.40 |  4.6 |  46.1% |  ON | ramp  | +6.4% |  40.7m
59m | S 7 | 623.6 | 622.5 | -1.1 |  2.25 |  4.6 |  46.4% |  ON | ramp  | +6.4% |  40.8m
60m | S 7 | 624.1 | 622.9 | -1.2 |  2.40 |  4.6 |  46.1% |  ON | ramp  | +6.4% |  41.0m
60m | S 7 | 624.4 | 623.3 | -1.1 |  2.25 |  4.6 |  46.4% |  ON | ramp  | +6.4% |  41.2m
60m | S 7 | 624.8 | 623.7 | -1.1 |  2.25 |  4.6 |  46.4% |  ON | ramp  | +6.4% |  41.3m
60m | S 7 | 625.2 | 624.2 | -1.0 |  2.40 |  4.6 |  46.1% |  ON | ramp  | +6.4% |  41.5m
60m | S 7 | 625.6 | 624.6 | -1.0 |  2.25 |  4.6 |  46.4% |  ON | ramp  | +6.4% |  41.7m
60m | S 7 | 626.0 | 625.0 | -1.0 |  2.34 |  4.6 |  46.2% |  ON | ramp  | +6.4% |  41.8m
61m | S 7 | 626.4 | 625.4 | -1.0 |  2.34 |  4.6 |  46.2% |  ON | ramp  | +6.4% |  42.0m
61m | S 7 | 626.8 | 625.9 | -0.9 |  2.34 |  4.6 |  46.2% |  ON | ramp  | +6.4% |  42.2m
61m | S 7 | 627.1 | 626.3 | -0.8 |  2.20 |  4.7 |  46.5% |  ON | ramp  | +6.4% |  42.4m
61m | S 7 | 627.5 | 626.7 | -0.8 |  2.25 |  4.6 |  46.4% |  ON | ramp  | +6.4% |  42.5m
61m | S 7 | 627.9 | 627.1 | -0.8 |  2.25 |  4.6 |  46.4% |  ON | ramp  | +6.4% |  42.7m
61m | S 7 | 628.3 | 627.5 | -0.8 |  2.25 |  4.6 |  46.4% |  ON | ramp  | +6.4% |  42.8m
62m | S 7 | 628.6 | 627.9 | -0.7 |  2.25 |  4.6 |  46.4% |  ON | ramp  | +6.4% |  43.0m
62m | S 7 | 629.1 | 628.4 | -0.7 |  2.40 |  4.6 |  46.1% |  ON | ramp  | +6.4% |  43.2m
62m | S 7 | 629.4 | 628.8 | -0.6 |  2.25 |  4.6 |  46.4% |  ON | ramp  | +6.4% |  43.4m
62m | S 7 | 629.8 | 629.2 | -0.6 |  2.25 |  4.6 |  46.4% |  ON | ramp  | +6.4% |  43.5m
62m | S 7 | 630.2 | 629.6 | -0.6 |  2.40 |  4.6 |  46.1% |  ON | ramp  | +6.4% |  43.7m
62m | S 7 | 630.6 | 630.1 | -0.5 |  2.20 |  4.7 |  46.5% |  ON | ramp  | +6.4% |  43.9m
63m | S 7 | 631.0 | 630.5 | -0.5 |  2.34 |  4.6 |  46.2% |  ON | ramp  | +6.4% |  44.0m
63m | S 7 | 631.4 | 630.9 | -0.5 |  2.34 |  4.6 |  46.2% |  ON | ramp  | +6.4% |  44.2m
63m | S 7 | 631.7 | 631.3 | -0.4 |  2.20 |  4.7 |  46.5% |  ON | ramp  | +6.4% |  44.4m
63m | S 7 | 632.1 | 631.7 | -0.4 |  2.25 |  4.6 |  46.4% |  ON | ramp  | +6.4% |  44.5m
63m | S 7 | 632.5 | 632.2 | -0.3 |  2.25 |  4.6 |  46.4% |  ON | ramp  | +6.4% |  44.7m
63m | S 7 | 632.9 | 632.6 | -0.3 |  2.25 |  4.6 |  46.4% |  ON | ramp  | +6.4% |  44.9m
64m | S 7 | 633.2 | 633.0 | -0.2 |  2.25 |  4.6 |  46.4% |  ON | ramp  | +6.4% |  45.0m
64m | S 7 | 633.6 | 633.4 | -0.2 |  2.25 |  4.6 |  46.4% |  ON | ramp  | +6.4% |  45.2m
64m | S 7 | 634.0 | 633.8 | -0.2 |  2.25 |  4.6 |  46.4% |  ON | ramp  | +6.4% |  45.4m
64m | S 7 | 634.3 | 634.2 | -0.1 |  2.10 |  4.7 |  46.7% |  ON | ramp  | +6.4% |  45.5m
64m | S 7 | 634.6 | 634.6 | +0.1 |  2.10 |  4.7 |  46.7% |  ON | ramp  | +6.4% |  45.7m
64m | S 7 | 635.1 | 635.1 | -0.0 |  2.25 |  4.6 |  46.4% |  ON | ramp  | +6.4% |  45.9m
65m | S 7 | 635.4 | 635.5 | +0.1 |  2.10 |  4.7 |  46.7% |  ON | ramp  | +6.4% |  46.0m
65m | S 7 | 635.7 | 635.9 | +0.2 |  2.10 |  4.7 |  46.7% |  ON | ramp  | +6.4% |  46.2m
65m | S 7 | 636.1 | 636.3 | +0.2 |  2.25 |  4.6 |  46.4% |  ON | ramp  | +6.4% |  46.4m
65m | S 7 | 636.4 | 636.7 | +0.3 |  1.95 |  4.7 |  47.0% |  ON | ramp  | +6.4% |  46.5m
65m | S 7 | 636.7 | 637.2 | +0.5 |  1.95 |  4.7 |  47.0% |  ON | ramp  | +6.4% |  46.7m
65m | S 7 | 637.1 | 637.6 | +0.5 |  2.10 |  4.7 |  46.7% |  ON | ramp  | +6.4% |  46.9m
66m | S 7 | 637.4 | 638.0 | +0.6 |  1.95 |  4.7 |  47.0% |  ON | ramp  | +6.4% |  47.0m
66m | S 7 | 637.7 | 638.5 | +0.8 |  1.86 |  4.7 |  47.2% |  ON | ramp  | +6.4% |  47.2m
66m | S 7 | 638.0 | 638.9 | +0.9 |  1.86 |  4.7 |  47.2% |  ON | ramp  | +6.4% |  47.4m
66m | S 7 | 638.4 | 639.3 | +0.9 |  1.86 |  4.7 |  47.2% |  ON | ramp  | +6.4% |  47.6m
66m | S 7 | 638.6 | 639.7 | +1.1 |  1.71 |  4.8 |  47.5% |  ON | ramp  | +6.4% |  47.7m
66m | S 7 | 638.9 | 640.2 | +1.2 |  1.80 |  4.7 |  47.3% |  ON | ramp  | +6.4% |  47.9m
67m | S 7 | 639.2 | 640.6 | +1.4 |  1.80 |  4.7 |  47.3% |  ON | ramp  | +6.4% |  48.1m
67m | S 7 | 639.5 | 641.0 | +1.5 |  1.65 |  4.8 |  47.6% |  ON | ramp  | +6.4% |  48.2m
67m | S 7 | 639.8 | 641.4 | +1.6 |  1.80 |  4.7 |  47.3% |  ON | ramp  | +6.4% |  48.4m
67m | S 7 | 640.2 | 641.8 | +1.6 |  1.95 |  4.7 |  47.0% |  ON | ramp  | +6.4% |  48.6m
67m | S 7 | 640.4 | 642.2 | +1.8 |  1.80 |  4.7 |  47.3% |  ON | ramp  | +6.4% |  48.7m
67m | S 7 | 640.7 | 642.6 | +2.0 |  1.80 |  4.7 |  47.3% |  ON | ramp  | +6.4% |  48.9m
68m | S 7 | 641.0 | 643.1 | +2.1 |  1.80 |  4.7 |  47.3% |  ON | ramp  | +6.4% |  49.1m
68m | S 7 | 641.2 | 643.5 | +2.3 |  1.50 |  4.8 |  47.9% |  ON | ramp  | +6.4% |  49.2m
68m | S 7 | 641.7 | 643.9 | +2.2 |  1.95 |  4.7 |  47.0% |  ON | ramp  | +6.4% |  49.4m
68m | S 7 | 641.9 | 644.3 | +2.4 |  1.80 |  4.7 |  47.3% |  ON | ramp  | +6.4% |  49.6m
68m | S 7 | 642.3 | 644.7 | +2.4 |  1.95 |  4.7 |  47.0% |  ON | ramp  | +6.4% |  49.7m
68m | S 7 | 642.5 | 645.2 | +2.7 |  1.95 |  4.7 |  47.0% |  ON | ramp  | +6.4% |  49.9m
69m | S 7 | 642.9 | 645.6 | +2.7 |  1.80 |  4.7 |  47.3% |  ON | ramp  | +6.4% |  50.1m
69m | S 7 | 643.3 | 646.0 | +2.7 |  2.10 |  4.7 |  46.7% |  ON | ramp  | +6.4% |  50.2m
69m | S 7 | 643.5 | 646.4 | +2.9 |  1.80 |  4.7 |  47.3% |  ON | ramp  | +6.4% |  50.4m
69m | S 7 | 643.8 | 646.8 | +3.0 |  1.95 |  4.7 |  47.0% |  ON | ramp  | +6.4% |  50.6m
69m | S 7 | 644.2 | 647.3 | +3.1 |  1.90 |  4.7 |  47.1% |  ON | ramp  | +6.4% |  50.8m
69m | S 7 | 644.5 | 647.7 | +3.2 |  1.76 |  4.7 |  47.4% |  ON | ramp  | +6.4% |  50.9m
70m | S 7 | 644.8 | 648.1 | +3.3 |  1.90 |  4.7 |  47.1% |  ON | ramp  | +6.4% |  51.1m
70m | S 7 | 645.3 | 648.5 | +3.2 |  2.20 |  4.7 |  46.5% |  ON | ramp  | +6.4% |  51.2m
70m | S 7 | 645.6 | 648.9 | +3.3 |  2.10 |  4.7 |  46.7% |  ON | ramp  | +6.4% |  51.4m
70m | S 7 | 645.9 | 649.4 | +3.5 |  2.10 |  4.7 |  46.7% |  ON | ramp  | +6.4% |  51.6m
70m | S 7 | 646.2 | 649.8 | +3.6 |  2.10 |  4.7 |  46.7% |  ON | ramp  | +6.4% |  51.8m
70m | S 7 | 646.5 | 650.2 | +3.7 |  1.80 |  4.7 |  47.3% |  ON | ramp  | +6.4% |  51.9m
71m | S 7 | 646.9 | 650.6 | +3.7 |  1.95 |  4.7 |  47.0% |  ON | ramp  | +6.4% |  52.1m
71m | S 7 | 647.3 | 651.0 | +3.7 |  2.10 |  4.7 |  46.7% |  ON | ramp  | +6.4% |  52.2m
71m | S 7 | 647.6 | 651.4 | +3.8 |  2.10 |  4.7 |  46.7% |  ON | ramp  | +6.4% |  52.4m
71m | S 7 | 647.9 | 651.9 | +4.0 |  2.10 |  4.7 |  46.7% |  ON | ramp  | +6.4% |  52.6m
71m | S 7 | 648.3 | 652.3 | +4.0 |  2.10 |  4.7 |  46.7% |  ON | ramp  | +6.4% |  52.8m
71m | S 7 | 648.7 | 652.7 | +4.0 |  2.10 |  4.7 |  46.7% |  ON | ramp  | +6.4% |  52.9m
72m | S 7 | 649.0 | 653.1 | +4.1 |  2.10 |  4.7 |  46.7% |  ON | ramp  | +6.4% |  53.1m
72m | S 7 | 649.4 | 653.5 | +4.1 |  2.25 |  4.6 |  46.4% |  ON | ramp  | +6.4% |  53.2m
72m | S 7 | 649.8 | 653.9 | +4.1 |  2.25 |  4.6 |  46.4% |  ON | ramp  | +6.4% |  53.4m
72m | S 7 | 650.1 | 654.4 | +4.3 |  2.10 |  4.7 |  46.7% |  ON | ramp  | +6.4% |  53.6m
72m | S 7 | 650.4 | 654.8 | +4.4 |  2.10 |  4.7 |  46.7% |  ON | ramp  | +6.4% |  53.8m
72m | S 7 | 650.7 | 655.2 | +4.5 |  1.90 |  4.7 |  47.1% |  ON | ramp  | +6.4% |  53.9m
73m | S 7 | 651.1 | 655.6 | +4.6 |  1.90 |  4.7 |  47.1% |  ON | ramp  | +6.4% |  54.1m
73m | S 7 | 651.5 | 656.1 | +4.6 |  2.05 |  4.7 |  46.8% |  ON | ramp  | +6.4% |  54.3m
73m | S 7 | 651.9 | 656.5 | +4.6 |  2.20 |  4.7 |  46.5% |  ON | ramp  | +6.4% |  54.4m
73m | S 7 | 652.1 | 656.9 | +4.8 |  2.10 |  4.7 |  46.7% |  ON | ramp  | +6.4% |  54.6m
73m | S 7 | 652.6 | 657.4 | +4.8 |  2.20 |  4.7 |  46.5% |  ON | ramp  | +6.4% |  54.8m
74m | S 7 | 653.0 | 657.8 | +4.8 |  2.14 |  4.7 |  46.6% |  ON | ramp  | +6.4% |  55.0m
74m | S 7 | 653.3 | 658.2 | +4.9 |  2.00 |  4.7 |  46.9% |  ON | ramp  | +6.4% |  55.1m
74m | S 7 | 653.7 | 658.6 | +5.0 |  2.29 |  4.6 |  46.3% |  ON | ramp  | +6.4% |  55.3m
74m | S 7 | 654.0 | 659.1 | +5.1 |  2.05 |  4.7 |  46.8% |  ON | ramp  | +6.4% |  55.5m
74m | S 7 | 654.4 | 659.5 | +5.1 |  2.10 |  4.7 |  46.7% |  ON | ramp  | +6.4% |  55.6m
74m | S 7 | 654.8 | 659.9 | +5.1 |  2.25 |  4.6 |  46.4% |  ON | ramp  | +6.4% |  55.8m
75m | S 7 | 655.1 | 660.3 | +5.2 |  2.10 |  4.7 |  46.7% |  ON | ramp  | +6.4% |  56.0m
75m | S 7 | 655.5 | 660.7 | +5.2 |  2.25 |  4.6 |  46.4% |  ON | ramp  | +6.4% |  56.1m
75m | S 7 | 655.9 | 661.2 | +5.2 |  2.25 |  4.6 |  46.4% |  ON | ramp  | +6.4% |  56.3m
75m | S 7 | 656.1 | 661.6 | +5.5 |  1.95 |  4.7 |  47.0% |  ON | ramp  | +6.4% |  56.5m
75m | S 7 | 656.6 | 662.0 | +5.4 |  2.25 |  4.6 |  46.4% |  ON | ramp  | +6.4% |  56.6m
75m | S 7 | 656.9 | 662.4 | +5.5 |  2.10 |  4.7 |  46.7% |  ON | ramp  | +6.4% |  56.8m
76m | S 7 | 657.2 | 662.8 | +5.6 |  1.95 |  4.7 |  47.0% |  ON | ramp  | +6.4% |  57.0m
76m | S 7 | 657.6 | 663.2 | +5.6 |  2.25 |  4.6 |  46.4% |  ON | ramp  | +6.4% |  57.1m
76m | S 7 | 657.9 | 663.6 | +5.8 |  1.95 |  4.7 |  47.0% |  ON | ramp  | +6.4% |  57.3m
76m | S 7 | 658.3 | 664.1 | +5.8 |  2.10 |  4.7 |  46.7% |  ON | ramp  | +6.4% |  57.5m
76m | S 7 | 658.6 | 664.5 | +5.9 |  2.10 |  4.7 |  46.7% |  ON | ramp  | +6.4% |  57.6m
76m | S 7 | 659.0 | 664.9 | +5.9 |  2.10 |  4.7 |  46.7% |  ON | ramp  | +6.4% |  57.8m
77m | S 7 | 659.4 | 665.3 | +5.9 |  2.25 |  4.6 |  46.4% |  ON | ramp  | +6.4% |  58.0m
77m | S 7 | 659.6 | 665.7 | +6.1 |  1.95 |  4.7 |  47.0% |  ON | ramp  | +6.4% |  58.1m
77m | S 7 | 660.0 | 666.2 | +6.2 |  2.10 |  4.7 |  46.7% |  ON | ramp  | +6.4% |  58.3m
77m | S 7 | 660.3 | 666.6 | +6.3 |  1.90 |  4.7 |  47.1% |  ON | ramp  | +6.4% |  58.5m
77m | S 7 | 660.7 | 667.0 | +6.3 |  1.90 |  4.7 |  47.1% |  ON | ramp  | +6.4% |  58.6m
77m | S 7 | 661.0 | 667.4 | +6.4 |  2.05 |  4.7 |  46.8% |  ON | ramp  | +6.4% |  58.8m
78m | S 7 | 661.4 | 667.9 | +6.5 |  2.05 |  4.7 |  46.8% |  ON | ramp  | +6.4% |  59.0m
78m | S 7 | 661.6 | 668.3 | +6.7 |  1.95 |  4.7 |  47.0% |  ON | ramp  | +6.4% |  59.2m
78m | S 7 | 662.0 | 668.7 | +6.7 |  1.95 |  4.7 |  47.0% |  ON | ramp  | +6.4% |  59.3m
78m | S 7 | 662.3 | 669.1 | +6.8 |  1.95 |  4.7 |  47.0% |  ON | ramp  | +6.4% |  59.5m
78m | S 7 | 662.7 | 669.5 | +6.8 |  1.95 |  4.7 |  47.0% |  ON | ramp  | +6.4% |  59.6m
78m | S 7 | 663.0 | 669.9 | +6.9 |  2.10 |  4.7 |  46.7% |  ON | ramp  | +6.4% |  59.8m
79m | S 7 | 663.3 | 670.4 | +7.1 |  1.95 |  4.7 |  47.0% |  ON | ramp  | +6.4% |  60.0m
79m | S 7 | 663.7 | 670.8 | +7.1 |  2.10 |  4.7 |  46.7% |  ON | ramp  | +6.4% |  60.2m
79m | S 7 | 663.9 | 671.2 | +7.3 |  1.80 |  4.7 |  47.3% |  ON | ramp  | +6.4% |  60.3m
79m | S 7 | 664.3 | 671.6 | +7.3 |  1.95 |  4.7 |  47.0% |  ON | ramp  | +6.4% |  60.5m
79m | S 7 | 664.7 | 672.0 | +7.3 |  2.10 |  4.7 |  46.7% |  ON | ramp  | +6.4% |  60.6m
79m | S 7 | 665.0 | 672.4 | +7.4 |  1.95 |  4.7 |  47.0% |  ON | ramp  | +6.4% |  60.8m
80m | S 7 | 665.4 | 672.9 | +7.5 |  2.25 |  4.6 |  46.4% |  ON | ramp  | +6.4% |  61.0m
80m | S 7 | 665.7 | 673.3 | +7.6 |  2.10 |  4.7 |  46.7% |  ON | ramp  | +6.4% |  61.2m
80m | S 7 | 666.1 | 673.7 | +7.6 |  2.10 |  4.7 |  46.7% |  ON | ramp  | +6.4% |  61.3m
80m | S 7 | 666.3 | 674.1 | +7.8 |  1.95 |  4.7 |  47.0% |  ON | ramp  | +6.4% |  61.5m
80m | S 7 | 666.8 | 674.5 | +7.7 |  2.10 |  4.7 |  46.7% |  ON | ramp  | +6.4% |  61.6m
80m | S 7 | 667.1 | 675.0 | +7.9 |  2.05 |  4.7 |  46.8% |  ON | ramp  | +6.4% |  61.8m
81m | S 7 | 667.4 | 675.4 | +8.0 |  1.90 |  4.7 |  47.1% |  ON | ramp  | +6.4% |  62.0m
81m | S 7 | 667.7 | 675.8 | +8.1 |  2.05 |  4.7 |  46.8% |  ON | ramp  | +6.4% |  62.2m
81m | S 7 | 668.1 | 676.3 | +8.2 |  1.86 |  4.7 |  47.2% |  ON | ramp  | +6.4% |  62.4m
81m | S 7 | 668.4 | 676.7 | +8.3 |  1.90 |  4.7 |  47.1% |  ON | ramp  | +6.4% |  62.5m
81m | S 7 | 668.8 | 677.1 | +8.3 |  2.05 |  4.7 |  46.8% |  ON | ramp  | +6.4% |  62.7m
81m | S 7 | 669.2 | 677.5 | +8.3 |  2.20 |  4.7 |  46.5% |  ON | ramp  | +6.4% |  62.8m
82m | S 7 | 669.5 | 677.9 | +8.4 |  2.10 |  4.7 |  46.7% |  ON | ramp  | +6.4% |  63.0m
82m | S 7 | 669.7 | 678.4 | +8.7 |  1.95 |  4.7 |  47.0% |  ON | ramp  | +6.4% |  63.2m
82m | S 7 | 670.1 | 678.8 | +8.7 |  1.95 |  4.7 |  47.0% |  ON | ramp  | +6.4% |  63.4m
82m | S 7 | 670.5 | 679.2 | +8.7 |  1.95 |  4.7 |  47.0% |  ON | ramp  | +6.4% |  63.5m
82m | S 7 | 670.8 | 679.6 | +8.8 |  1.95 |  4.7 |  47.0% |  ON | ramp  | +6.4% |  63.7m
82m | S 7 | 671.1 | 680.0 | +8.9 |  2.10 |  4.7 |  46.7% |  ON | ramp  | +6.4% |  63.8m
83m | S 7 | 671.5 | 680.4 | +8.9 |  2.10 |  4.7 |  46.7% |  ON | ramp  | +6.4% |  64.0m
83m | S 7 | 671.8 | 680.9 | +9.1 |  1.95 |  4.7 |  47.0% |  ON | ramp  | +6.4% |  64.2m
83m | S 7 | 672.1 | 681.3 | +9.2 |  1.95 |  4.7 |  47.0% |  ON | ramp  | +6.4% |  64.4m
83m | S 7 | 672.4 | 681.7 | +9.3 |  1.90 |  4.7 |  47.1% |  ON | ramp  | +6.4% |  64.5m
83m | S 7 | 672.7 | 682.2 | +9.5 |  1.76 |  4.7 |  47.4% |  ON | ramp  | +6.4% |  64.7m
83m | S 7 | 673.0 | 682.6 | +9.6 |  1.76 |  4.7 |  47.4% |  ON | ramp  | +6.4% |  64.9m
84m | S 7 | 673.4 | 683.0 | +9.6 |  1.90 |  4.7 |  47.1% |  ON | ramp  | +6.4% |  65.0m
84m | S 7 | 673.7 | 683.4 | +9.7 |  1.95 |  4.7 |  47.0% |  ON | ramp  | +6.4% |  65.2m
84m | S 7 | 673.9 | 683.8 | +9.9 |  1.80 |  4.7 |  47.3% |  ON | ramp  | +6.4% |  65.4m
84m | S 7 | 674.4 | 684.2 | +9.8 |  2.10 |  4.7 |  46.7% |  ON | ramp  | +6.4% |  65.5m
84m | S 7 | 674.7 | 684.6 | +10.0 |  1.95 |  4.7 |  47.0% |  ON | ramp  | +6.4% |  65.7m
84m | S 7 | 675.0 | 685.1 | +10.1 |  1.95 |  4.7 |  47.0% |  ON | ramp  | +6.4% |  65.9m
85m | S 7 | 675.4 | 685.5 | +10.1 |  2.25 |  4.6 |  46.4% |  ON | ramp  | +6.4% |  66.0m
85m | S 7 | 675.7 | 685.9 | +10.2 |  1.95 |  4.7 |  47.0% |  ON | ramp  | +6.4% |  66.2m
85m | S 7 | 676.0 | 686.3 | +10.3 |  1.95 |  4.7 |  47.0% |  ON | ramp  | +6.4% |  66.4m
85m | S 7 | 676.3 | 686.7 | +10.4 |  1.95 |  4.7 |  47.0% |  ON | ramp  | +6.4% |  66.5m
85m | S 7 | 676.7 | 687.2 | +10.5 |  1.95 |  4.7 |  47.0% |  ON | ramp  | +6.4% |  66.7m
85m | S 7 | 677.0 | 687.6 | +10.6 |  1.95 |  4.7 |  47.0% |  ON | ramp  | +6.4% |  66.9m
✅ LOG SAVED: profile_run.txt
🛑 EMERGENCY STOP
>>> %Run -c $EDITOR_CONTENT

══════════════════════════════════════════════════════════════════════════════════════════
AVAILABLE SEGMENTS - SELECT START:
S 1:    0→  150°C@ 2.50°C/min
S 2:  150→  150°C@ 0.00°C/min Hold:180m
S 3:  150→  370°C@ 3.66°C/min
S 4:  370→  370°C@ 0.00°C/min Hold:60m
S 5:  370→  448°C@ 2.50°C/min
S 6:  448→  523°C@ 2.50°C/min
S 7:  523→  635°C@ 2.50°C/min
S 8:  635→  750°C@ 2.50°C/min
S 9:  750→  750°C@ 0.00°C/min Hold:240m
══════════════════════════════════════════════════════════════════════════════════════════

🔍 Tcurentă=679.7°C

📋 ALEGE SEGMENTUL DE START (1-13):
ENTER S# (ex: 3, 4, 5): 8

✅ START S8: 635→750°C
   Ramp: 2.5°C/min | Hold: 0min


MIN |  S# |  Tcur | Ttgt  |  ERR |  RATE | ON(s)| DUTY%  | SSR | MODE  | BOOST | SEG_TIME
══════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════
 0m | S 8 | 681.3 | 679.7 | -1.6 |  0.00 |  6.3 |  62.9% |  ON | ramp  | +8.4% |   0.0m
 0m | S 8 | 681.8 | 680.1 | -1.7 |  3.00 |  5.7 |  56.9% |  ON | ramp  | +8.4% |   0.2m
 1m | S 8 | 682.2 | 680.6 | -1.6 |  2.57 |  5.8 |  57.8% |  ON | ramp  | +8.4% |   0.4m
 1m | S 8 | 682.6 | 681.0 | -1.6 |  2.52 |  5.8 |  57.9% |  ON | ramp  | +8.4% |   0.5m
 1m | S 8 | 683.0 | 681.4 | -1.6 |  2.49 |  5.8 |  57.9% |  ON | ramp  | +8.4% |   0.7m
 1m | S 8 | 683.4 | 681.9 | -1.5 |  2.29 |  5.8 |  58.3% |  ON | ramp  | +8.4% |   0.9m
 1m | S 8 | 683.8 | 682.3 | -1.5 |  2.34 |  5.8 |  58.2% |  ON | ramp  | +8.4% |   1.0m
 1m | S 8 | 684.1 | 682.7 | -1.4 |  2.20 |  5.8 |  58.5% |  ON | ramp  | +8.4% |   1.2m
 2m | S 8 | 684.5 | 683.1 | -1.4 |  2.20 |  5.8 |  58.5% |  ON | ramp  | +8.4% |   1.4m
 2m | S 8 | 684.8 | 683.5 | -1.3 |  2.10 |  5.9 |  58.7% |  ON | ramp  | +8.4% |   1.5m
 2m | S 8 | 685.2 | 684.0 | -1.2 |  2.10 |  5.9 |  58.7% |  ON | ramp  | +8.4% |   1.7m
 2m | S 8 | 685.5 | 684.4 | -1.1 |  2.10 |  5.9 |  58.7% |  ON | ramp  | +8.4% |   1.9m
 2m | S 8 | 685.8 | 684.8 | -1.0 |  1.95 |  5.9 |  59.0% |  ON | ramp  | +8.4% |   2.0m
 2m | S 8 | 686.1 | 685.2 | -0.9 |  1.95 |  5.9 |  59.0% |  ON | ramp  | +8.4% |   2.2m
 3m | S 8 | 686.5 | 685.6 | -0.9 |  1.95 |  5.9 |  59.0% |  ON | ramp  | +8.4% |   2.4m
 3m | S 8 | 686.8 | 686.1 | -0.7 |  1.90 |  5.9 |  59.1% |  ON | ramp  | +8.4% |   2.6m
 3m | S 8 | 687.2 | 686.5 | -0.7 |  2.05 |  5.9 |  58.8% |  ON | ramp  | +8.4% |   2.7m
 3m | S 8 | 687.6 | 686.9 | -0.7 |  2.20 |  5.8 |  58.5% |  ON | ramp  | +8.4% |   2.9m
 3m | S 8 | 687.9 | 687.3 | -0.6 |  2.05 |  5.9 |  58.8% |  ON | ramp  | +8.4% |   3.0m
 3m | S 8 | 688.3 | 687.7 | -0.6 |  2.25 |  5.8 |  58.4% |  ON | ramp  | +8.4% |   3.2m
 4m | S 8 | 688.6 | 688.2 | -0.4 |  2.10 |  5.9 |  58.7% |  ON | ramp  | +8.4% |   3.4m
 4m | S 8 | 689.1 | 688.6 | -0.5 |  2.25 |  5.8 |  58.4% |  ON | ramp  | +8.4% |   3.6m
